time	V(mreal)	V(vc)	V(vinput)	V(vobser)	V(vtest)
8.529296875000000e-002	1.000000e+000	8.321872e-002	1.321941e-001	1.290326e-001	2.000000e+006
9.500000000000000e-002	1.000000e+000	7.983400e-002	9.834705e-002	1.290328e-001	2.000000e+006
9.925502232142858e-002	1.000000e+000	7.840845e-002	8.409163e-002	1.290330e-001	2.000000e+006
1.035100446428572e-001	1.000000e+000	7.701404e-002	7.014762e-002	1.290332e-001	2.000000e+006
1.077650669642857e-001	1.000000e+000	7.565078e-002	5.651503e-002	1.290333e-001	2.000000e+006
1.120200892857143e-001	1.000000e+000	7.431866e-002	4.319385e-002	1.290334e-001	2.000000e+006
1.162751116071429e-001	1.000000e+000	7.301767e-002	3.018409e-002	1.290334e-001	2.000000e+006
1.205301339285714e-001	1.000000e+000	7.174783e-002	1.748575e-002	1.290333e-001	2.000000e+006
1.247851562500000e-001	1.000000e+000	7.050914e-002	5.098819e-003	1.290332e-001	2.000000e+006
1.257617187500000e-001	1.000000e+000	7.022852e-002	2.292696e-003	1.290332e-001	2.000000e+006
1.267382812500000e-001	1.000000e+000	6.994941e-002	-4.983826e-004	1.290331e-001	2.000000e+006
1.277148437500000e-001	1.000000e+000	6.967180e-002	-3.274498e-003	1.290330e-001	2.000000e+006
1.302260044642857e-001	1.000000e+000	6.896508e-002	-1.034167e-002	1.290332e-001	2.000000e+006
1.327371651785714e-001	1.000000e+000	6.826774e-002	-1.731506e-002	1.290332e-001	2.000000e+006
1.352483258928572e-001	1.000000e+000	6.757978e-002	-2.419467e-002	1.290330e-001	2.000000e+006
1.377594866071429e-001	1.000000e+000	6.690119e-002	-3.098049e-002	1.290327e-001	2.000000e+006
1.402706473214286e-001	1.000000e+000	6.623199e-002	-3.767253e-002	1.290323e-001	2.000000e+006
1.427818080357143e-001	1.000000e+000	6.557216e-002	-4.427078e-002	1.290317e-001	2.000000e+006
1.452929687500000e-001	1.000000e+000	6.492171e-002	-5.077526e-002	1.290310e-001	2.000000e+006
1.510128348214286e-001	1.000000e+000	6.347586e-002	-6.523362e-002	1.290310e-001	2.000000e+006
1.567327008928572e-001	1.000000e+000	6.207158e-002	-7.927637e-002	1.290310e-001	2.000000e+006
1.624525669642857e-001	1.000000e+000	6.070886e-002	-9.290352e-002	1.290311e-001	2.000000e+006
1.681724330357143e-001	1.000000e+000	5.938770e-002	-1.061151e-001	1.290312e-001	2.000000e+006
1.738922991071429e-001	1.000000e+000	5.810810e-002	-1.189110e-001	1.290312e-001	2.000000e+006
1.796121651785714e-001	1.000000e+000	5.687007e-002	-1.312913e-001	1.290313e-001	2.000000e+006
1.853320312500000e-001	1.000000e+000	5.567359e-002	-1.432560e-001	1.290314e-001	2.000000e+006
1.999804687500000e-001	1.000000e+000	5.276777e-002	-1.723140e-001	1.290315e-001	2.000000e+006
2.000000000000000e-001	1.000000e+000	5.276405e-002	-1.723513e-001	1.290315e-001	2.000000e+006
2.001171875000000e-001	1.000000e+000	5.274195e-002	-1.725723e-001	1.290315e-001	1.953828e+006
2.005859375000000e-001	1.000000e+000	5.265759e-002	-1.734162e-001	1.290316e-001	1.769141e+006
2.012109375000000e-001	1.000000e+000	5.255722e-002	-1.744205e-001	1.290316e-001	1.522891e+006
2.021875000000000e-001	1.000000e+000	5.243379e-002	-1.756561e-001	1.290317e-001	1.138125e+006
2.031640625000000e-001	1.000000e+000	5.239205e-002	-1.760767e-001	1.290319e-001	7.533594e+005
2.041406250000000e-001	1.000000e+000	5.316306e-002	-1.684121e-001	1.290351e-001	3.685938e+005
2.050000000000000e-001	1.000000e+000	5.521376e-002	-1.480209e-001	1.290433e-001	3.000000e+004
2.050976562500000e-001	1.000000e+000	5.581673e-002	-1.419916e-001	1.290438e-001	3.000000e+004
2.052929687500000e-001	1.000000e+000	5.702111e-002	-1.299480e-001	1.290451e-001	3.000000e+004
2.056835937500000e-001	1.000000e+000	5.942233e-002	-1.059357e-001	1.290491e-001	3.000000e+004
2.064648437500000e-001	1.000000e+000	6.420014e-002	-5.815738e-002	1.290597e-001	3.000000e+004
2.074414062500000e-001	1.000000e+000	7.013159e-002	1.157376e-003	1.290522e-001	3.000000e+004
2.084179687500000e-001	1.000000e+000	7.601490e-002	5.999072e-002	1.290246e-001	3.000000e+004
2.093945312500000e-001	1.000000e+000	8.184794e-002	1.183213e-001	1.290157e-001	3.000000e+004
2.103710937500000e-001	1.000000e+000	8.763112e-002	1.761535e-001	1.290220e-001	3.000000e+004
2.133007812500000e-001	1.000000e+000	1.046859e-001	3.467016e-001	1.290272e-001	3.000000e+004
2.152539062500000e-001	1.000000e+000	1.158142e-001	4.579853e-001	1.290284e-001	3.000000e+004
2.162304687500000e-001	9.998677e-001	1.213071e-001	5.129149e-001	1.290568e-001	3.000000e+004
2.172070312500000e-001	9.967576e-001	1.267531e-001	5.673751e-001	1.297208e-001	3.000000e+004
2.181835937500000e-001	9.877521e-001	1.321526e-001	6.213700e-001	1.316605e-001	3.000000e+004
2.191601562500000e-001	9.750265e-001	1.375059e-001	6.749034e-001	1.344439e-001	3.000000e+004
2.201367187500000e-001	9.609662e-001	1.428135e-001	7.279794e-001	1.375876e-001	3.000000e+004
2.211132812500000e-001	9.455824e-001	1.480757e-001	7.806018e-001	1.411115e-001	3.000000e+004
2.220898437500000e-001	9.288865e-001	1.532930e-001	8.327746e-001	1.450381e-001	3.000000e+004
2.230664062500000e-001	9.108899e-001	1.584657e-001	8.845015e-001	1.493931e-001	3.000000e+004
2.240429687500000e-001	8.916034e-001	1.635941e-001	9.357864e-001	1.542053e-001	3.000000e+004
2.250195312500000e-001	8.710382e-001	1.686788e-001	9.866331e-001	1.595075e-001	3.000000e+004
2.259960937500000e-001	8.492053e-001	1.737200e-001	1.037045e+000	1.653362e-001	3.000000e+004
2.269726562500000e-001	8.261154e-001	1.787181e-001	1.087027e+000	1.717322e-001	3.000000e+004
2.279492187500000e-001	8.017793e-001	1.836735e-001	1.136581e+000	1.787415e-001	3.000000e+004
