time	V(mreal)	V(vc)	V(vinput)	V(vobser)	V(vtest)
7.978515625000000e-002	9.477215e-001	1.344587e-001	6.444849e-001	1.405969e-001	4.500000e+004
8.000000000000000e-002	9.449678e-001	1.351925e-001	6.518236e-001	1.412328e-001	4.500000e+004
8.009765625000000e-002	9.436783e-001	1.354197e-001	6.541151e-001	1.415316e-001	5.772786e+004
8.029296875000000e-002	9.410874e-001	1.357656e-001	6.575985e-001	1.421359e-001	8.318359e+004
8.068359375000000e-002	9.358705e-001	1.361502e-001	6.614674e-001	1.433632e-001	1.340950e+005
8.146484375000000e-002	9.253833e-001	1.364200e-001	6.641831e-001	1.458622e-001	2.359180e+005
8.244140625000000e-002	9.122603e-001	1.363747e-001	6.637397e-001	1.490433e-001	3.631966e+005
8.341796875000000e-002	8.991774e-001	1.361093e-001	6.610898e-001	1.522801e-001	4.904753e+005
8.439453125000000e-002	8.861754e-001	1.357282e-001	6.572808e-001	1.555664e-001	6.177539e+005
8.537109375000000e-002	8.732771e-001	1.352811e-001	6.528109e-001	1.588965e-001	7.450326e+005
8.634765625000000e-002	8.604960e-001	1.347913e-001	6.479148e-001	1.622666e-001	8.723112e+005
8.732421875000000e-002	8.478414e-001	1.342722e-001	6.427237e-001	1.656737e-001	9.995899e+005
8.830078125000000e-002	8.353194e-001	1.337316e-001	6.373191e-001	1.691156e-001	1.126869e+006
8.927734375000000e-002	8.229349e-001	1.331752e-001	6.317554e-001	1.725900e-001	1.254147e+006
9.025390625000000e-002	8.106911e-001	1.326067e-001	6.260706e-001	1.760950e-001	1.381426e+006
9.123046875000000e-002	7.985910e-001	1.320288e-001	6.202923e-001	1.796289e-001	1.508704e+006
9.220703125000000e-002	7.866364e-001	1.314437e-001	6.144415e-001	1.831898e-001	1.635983e+006
9.318359375000000e-002	7.748291e-001	1.308530e-001	6.085342e-001	1.867762e-001	1.763262e+006
9.500000000000000e-002	7.532259e-001	1.297439e-001	5.974443e-001	1.935036e-001	2.000000e+006
9.529296875000000e-002	7.497997e-001	1.295642e-001	5.956471e-001	1.945968e-001	2.000000e+006
1.003431919642857e-001	6.930489e-001	1.265159e-001	5.651642e-001	2.141832e-001	2.000000e+006
1.053934151785714e-001	6.399372e-001	1.235457e-001	5.354623e-001	2.336691e-001	2.000000e+006
1.104436383928572e-001	5.904644e-001	1.206536e-001	5.065414e-001	2.530543e-001	2.000000e+006
1.154938616071429e-001	5.446308e-001	1.178396e-001	4.784015e-001	2.723390e-001	2.000000e+006
1.205440848214286e-001	5.024361e-001	1.151037e-001	4.510427e-001	2.915231e-001	2.000000e+006
1.255943080357143e-001	4.638805e-001	1.124459e-001	4.244649e-001	3.106065e-001	2.000000e+006
1.306445312500000e-001	4.289639e-001	1.098662e-001	3.986681e-001	3.295894e-001	2.000000e+006
1.349693080357143e-001	4.016158e-001	1.077119e-001	3.771248e-001	3.450449e-001	2.000000e+006
1.392940848214286e-001	3.764968e-001	1.056054e-001	3.560600e-001	3.595558e-001	2.000000e+006
1.436188616071429e-001	3.536069e-001	1.035468e-001	3.354736e-001	3.731221e-001	2.000000e+006
1.479436383928572e-001	3.329462e-001	1.015360e-001	3.153657e-001	3.857438e-001	2.000000e+006
1.522684151785714e-001	3.145146e-001	9.957300e-002	2.957362e-001	3.974210e-001	2.000000e+006
1.565931919642857e-001	2.983121e-001	9.765789e-002	2.765852e-001	4.081535e-001	2.000000e+006
1.609179687500000e-001	2.843387e-001	9.579062e-002	2.579126e-001	4.179415e-001	2.000000e+006
1.639871651785714e-001	2.756167e-001	9.449111e-002	2.449175e-001	4.240225e-001	2.000000e+006
1.670563616071429e-001	2.678679e-001	9.321248e-002	2.321313e-001	4.294493e-001	2.000000e+006
1.701255580357143e-001	2.610923e-001	9.195475e-002	2.195540e-001	4.342219e-001	2.000000e+006
1.731947544642857e-001	2.552899e-001	9.071791e-002	2.071856e-001	4.383403e-001	2.000000e+006
1.762639508928572e-001	2.504608e-001	8.950195e-002	1.950262e-001	4.418044e-001	2.000000e+006
1.793331473214286e-001	2.466050e-001	8.830689e-002	1.830756e-001	4.446142e-001	2.000000e+006
1.824023437500000e-001	2.437223e-001	8.713272e-002	1.713339e-001	4.467699e-001	2.000000e+006
1.892382812500000e-001	2.404844e-001	8.458583e-002	1.458652e-001	4.491527e-001	2.000000e+006
1.902148437500000e-001	2.403794e-001	8.422975e-002	1.423044e-001	4.492303e-001	2.000000e+006
1.911914062500000e-001	2.403407e-001	8.387558e-002	1.387627e-001	4.492589e-001	2.000000e+006
1.921679687500000e-001	2.403348e-001	8.352330e-002	1.352400e-001	4.492634e-001	2.000000e+006
1.955161830357143e-001	2.403391e-001	8.233076e-002	1.233146e-001	4.492604e-001	2.000000e+006
1.988643973214286e-001	2.403434e-001	8.115903e-002	1.115973e-001	4.492575e-001	2.000000e+006
2.022126116071429e-001	2.403476e-001	8.000813e-002	1.000883e-001	4.492548e-001	2.000000e+006
2.055608258928572e-001	2.403519e-001	7.887804e-002	8.878754e-002	4.492521e-001	2.000000e+006
2.089090401785714e-001	2.403562e-001	7.776878e-002	7.769496e-002	4.492496e-001	2.000000e+006
2.122572544642857e-001	2.403605e-001	7.668034e-002	6.681061e-002	4.492472e-001	2.000000e+006
2.156054687500000e-001	2.403648e-001	7.561272e-002	5.613447e-002	4.492449e-001	2.000000e+006
2.175585937500000e-001	2.403673e-001	7.499842e-002	4.999152e-002	4.492421e-001	2.000000e+006
2.195117187500000e-001	2.403698e-001	7.439069e-002	4.391426e-002	4.492412e-001	2.000000e+006
2.214648437500000e-001	2.403723e-001	7.378963e-002	3.790367e-002	4.492411e-001	2.000000e+006
2.234179687500000e-001	2.403748e-001	7.319483e-002	3.195568e-002	4.492411e-001	2.000000e+006
2.253710937500000e-001	2.403773e-001	7.260629e-002	2.607029e-002	4.492411e-001	2.000000e+006
2.273242187500000e-001	2.403798e-001	7.202401e-002	2.024749e-002	4.492410e-001	2.000000e+006
2.292773437500000e-001	2.403823e-001	7.144799e-002	1.448729e-002	4.492410e-001	2.000000e+006
